episode,timestep,reward
1,14400,42.392
3,28800,28.7952
5,43200,79.132
7,57600,48.02
9,72000,46.2632
11,86400,30.2872
13,100800,29.2216
15,115200,87.6688
17,129600,39.1608
19,144000,43.7032
21,158400,80.108
23,172800,55.2896
25,187200,64.3136
27,201600,39.4952
29,216000,59.4056
31,230400,60.716
33,244800,55.3816
35,259200,51.0816
37,273600,38.4296
39,288000,44.3136
41,302400,30.624
43,316800,35.3792
45,331200,49.6792
47,345600,54.8632
49,360000,58.856
51,374400,63.5528
53,388800,49.74
55,403200,90.016
57,417600,85.9
59,432000,45.3792
61,446400,41.1424
63,460800,93.2184
65,475200,39.832
67,489600,63.7976
69,504000,58.248
71,518400,30.8056
73,532800,58.948
75,547200,80.0472
77,561600,85.2
79,576000,49.832
81,590400,74.1608
83,604800,70.108
85,619200,55.8976
87,633600,51.0098
89,648000,54.6792
91,662400,74.224
93,676800,112.5184
95,691200,89.2552
97,705600,77.4872
99,720000,35.2872
101,734400,64.7712
103,748800,50.624
105,763200,65.3816
107,777600,24.648
109,792000,68.7976
111,806400,100.4536
113,820800,11.8712
115,835200,60.808
117,849600,75.1197
119,864000,99.132
121,878400,66.508
123,892800,24.0376
125,907200,44.4976
127,921600,30.348
129,936000,78.524
131,950400,40.44
133,964800,60.016
135,979200,59.4
137,993600,60.6584
139,1008000,90.5632
141,1022400,83.452
143,1036800,41.0013
145,1051200,52.1224
147,1065600,86.5221
149,1080000,59.7541
151,1094400,101.5221
153,1108800,34.648
155,1123200,45.5293
157,1137600,51.1424
159,1152000,91.565
161,1166400,85.1165
163,1180800,59.924
165,1195200,-18.0763
167,1209600,84.2325
169,1224000,64.8517
171,1238400,56.9485
173,1252800,82.6271
175,1267200,38.4266
177,1281600,57.5904
179,1296000,78.4547
181,1310400,80.2285
183,1324800,47.6349
185,1339200,90.5133
187,1353600,8.4042
189,1368000,57.9707
191,1382400,79.2789
193,1396800,76.1016
195,1411200,74.3941
197,1425600,52.1826
199,1440000,56.2461
201,1454400,54.4664
203,1468800,35.1774
205,1483200,18.672
207,1497600,33.9565
209,1512000,48.3538
211,1526400,62.039
213,1540800,53.9261
215,1555200,-5.587
217,1569600,23.7866
219,1584000,66.937
221,1598400,32.5714
223,1612800,77.395
225,1627200,60.7001
227,1641600,97.8413
229,1656000,81.5184
231,1670400,30.5234
233,1684800,61.5026
235,1699200,-0.009
237,1713600,53.5042
239,1728000,70.635
241,1742400,31.73
243,1756800,35.5342
245,1771200,29.9966
247,1785600,46.332
249,1800000,-78.0746
251,1814400,91.7955
253,1828800,43.7694
255,1843200,56.9547
257,1857600,66.9626
259,1872000,36.6814
261,1886400,66.733
263,1900800,71.8478
265,1915200,47.5935
267,1929600,21.045
269,1944000,76.044
271,1958400,86.0147
273,1972800,57.3803
275,1987200,127.7368
277,2001600,123.7913
279,2016000,76.5539
281,2030400,-26.0853
283,2044800,-43.6571
285,2059200,11.1115
287,2073600,56.4717
289,2088000,84.3841
291,2102400,46.0128
293,2116800,180.9525
295,2131200,57.8589
297,2145600,46.1309
299,2160000,80.3101
301,2174400,48.9534
303,2188800,47.779
305,2203200,34.9934
307,2217600,6.6158
309,2232000,58.8126
311,2246400,26.05
313,2260800,-37.396
315,2275200,31.1138
317,2289600,17.1282
319,2304000,63.236
321,2318400,57.516
323,2332800,-14.0349
325,2347200,3.2722
327,2361600,61.7926
329,2376000,65.7678
331,2390400,84.365
333,2404800,15.5073
335,2419200,-54.5013
337,2433600,71.177
339,2448000,14.4147
341,2462400,22.7416
343,2476800,8.6056
345,2491200,-0.0067
347,2505600,71.6314
349,2520000,-20.5043
351,2534400,-59.7363
353,2548800,98.5727
355,2563200,116.4409
357,2577600,7.8568
359,2592000,75.5115
361,2606400,24.7523
363,2620800,47.2813
365,2635200,63.6402
367,2649600,-46.6611
369,2664000,75.1602
371,2678400,-52.8908
373,2692800,43.9863
375,2707200,42.4965
377,2721600,90.8292
379,2736000,91.4908
381,2750400,-14.6544
383,2764800,78.6991
385,2779200,32.1054
387,2793600,42.2002
389,2808000,35.65
391,2822400,39.7771
393,2836800,30.7883
395,2851200,132.6717
397,2865600,80.2064
399,2880000,136.2399
401,2894400,116.497
403,2908800,4.5802
405,2923200,67.6654
407,2937600,90.9438
409,2952000,55.9891
