episode,timestep,reward
1,7200,-542.2
3,14400,-585.552
5,21600,-660.96
7,28800,-675.148
9,36000,-762.84
11,43200,-727.9
13,50400,-583.78
15,57600,-612.4
17,64800,-593.212
19,72000,-711.164
21,79200,-521.98
23,86400,-490.8656
25,93600,-752.88
27,100800,-814.0
29,108000,-789.54
31,115200,-563.62
33,122400,-718.48
35,129600,-756.528
37,136800,-695.86
39,144000,-610.088
41,151200,-674.18
43,158400,-686.068
45,165600,-682.532
47,172800,-606.2
49,180000,-630.368
51,187200,-718.26
53,194400,-696.6
55,201600,-659.308
57,208800,-634.7
59,216000,-650.24
61,223200,-581.644
63,230400,-712.42
65,237600,-513.892
67,244800,-671.88
69,252000,-604.52
