episode,timestep,reward
1,14400,-507.24
3,28800,-461.8485
5,43200,-418.7771
7,57600,-501.2037
9,72000,-446.7308
11,86400,-480.948
13,100800,-382.508
15,115200,-345.2968
17,129600,-485.9053
19,144000,-345.4755
21,158400,-476.9214
23,172800,-358.2488
25,187200,-517.62
27,201600,-389.9593
29,216000,-351.0597
31,230400,-444.5928
33,244800,-466.5236
35,259200,-549.736
37,273600,-455.3176
39,288000,-424.4666
41,302400,-480.5037
43,316800,-590.86
45,331200,-359.4669
47,345600,-413.4401
49,360000,-487.2256
51,374400,-573.2541
53,388800,-329.7771
55,403200,-569.8512
57,417600,-405.4192
59,432000,-364.988
61,446400,-494.7816
63,460800,-490.5458
65,475200,-393.572
67,489600,-380.0124
69,504000,-424.329
71,518400,-448.3721
73,532800,-539.5376
75,547200,-403.1645
77,561600,-378.3491
79,576000,-390.8013
81,590400,-293.8368
83,604800,-436.8363
85,619200,-443.7421
87,633600,-491.2272
89,648000,-258.7173
91,662400,-305.5507
93,676800,-469.6456
95,691200,-451.1347
97,705600,-403.3352
99,720000,-390.6288
101,734400,-415.8131
103,748800,-489.2091
105,763200,-337.7232
107,777600,-543.1005
109,792000,-310.6423
111,806400,-409.5267
113,820800,-196.4804
115,835200,-442.968
117,849600,-419.1613
119,864000,-317.7965
121,878400,-529.7912
123,892800,-350.8423
125,907200,-444.7672
127,921600,-322.4222
129,936000,-416.7544
131,950400,-412.8066
133,964800,-380.8304
135,979200,-395.3117
137,993600,-346.759
139,1008000,-451.4169
141,1022400,-361.9955
143,1036800,-307.4865
145,1051200,-285.2511
147,1065600,-349.199
149,1080000,-290.8893
151,1094400,-256.8391
153,1108800,-184.6744
155,1123200,-150.5597
157,1137600,48.2343
159,1152000,-238.7557
161,1166400,-64.3852
163,1180800,-220.6146
165,1195200,-291.5667
167,1209600,-186.2821
169,1224000,-274.1589
171,1238400,-176.1464
173,1252800,-87.5216
175,1267200,-86.3823
177,1281600,-25.8394
179,1296000,-42.039
181,1310400,-78.6646
183,1324800,-163.5798
185,1339200,-162.6676
187,1353600,-101.2342
189,1368000,-69.6198
191,1382400,-48.8775
193,1396800,-180.1761
195,1411200,-61.5894
197,1425600,86.6077
199,1440000,-265.4997
201,1454400,-197.5296
203,1468800,-92.4336
205,1483200,-35.3186
207,1497600,-27.3178
209,1512000,-81.0476
211,1526400,58.2161
213,1540800,-260.0397
215,1555200,-93.5192
217,1569600,-157.9884
219,1584000,-24.0383
221,1598400,-90.4648
223,1612800,-99.9773
225,1627200,-129.2389
227,1641600,-163.1074
229,1656000,-218.9245
231,1670400,38.1064
233,1684800,-235.7747
235,1699200,-145.9727
237,1713600,-379.0712
239,1728000,-290.6309
241,1742400,-233.7629
243,1756800,-87.1453
245,1771200,-51.0979
247,1785600,-61.2445
249,1800000,-1.1938
251,1814400,-334.4958
253,1828800,-398.1954
255,1843200,-288.352
257,1857600,-309.2698
259,1872000,-477.9301
261,1886400,-181.1872
263,1900800,-19.1004
265,1915200,-30.632
267,1929600,-131.3223
269,1944000,-30.4877
271,1958400,-61.4109
273,1972800,-10.088
275,1987200,-156.2552
277,2001600,-89.4769
279,2016000,-53.1284
281,2030400,-39.1067
283,2044800,-301.2632
285,2059200,-197.8158
287,2073600,-67.9305
289,2088000,-400.9
291,2102400,-112.8306
293,2116800,-14.2059
295,2131200,-51.0061
297,2145600,-86.4941
299,2160000,-205.1714
301,2174400,-172.2581
303,2188800,-40.3614
