episode,timestep,reward
1,14400,-484.5731
3,28800,-319.0922
5,43200,-424.6596
7,57600,-477.6073
9,72000,-534.7016
11,86400,-377.9853
13,100800,-416.9816
15,115200,-462.6304
17,129600,-265.8519
19,144000,-302.4854
21,158400,-198.9608
23,172800,-179.3179
25,187200,-354.8704
27,201600,-449.6293
29,216000,-365.7928
31,230400,-360.4843
33,244800,-324.3955
35,259200,-445.6283
37,273600,-417.249
39,288000,-232.4434
41,302400,-387.4389
43,316800,-255.768
45,331200,-428.3016
47,345600,-357.4318
49,360000,-381.1173
51,374400,-456.6432
53,388800,-311.2322
55,403200,-263.9935
57,417600,-398.8659
59,432000,-201.9292
61,446400,-244.4157
63,460800,-132.0677
65,475200,-162.307
67,489600,-256.1014
