episode,timestep,reward
1,7200,-651.48
3,14400,-388.5328
5,21600,-516.3
7,28800,-423.68
9,36000,-401.232
11,43200,-369.1864
13,50400,-362.24
15,57600,-244.352
17,64800,-243.98
19,72000,-330.08
21,79200,-437.7784
23,86400,-302.3664
25,93600,-320.3784
27,100800,-307.472
29,108000,-399.68
31,115200,-396.8387
33,122400,-346.3128
35,129600,-331.792
37,136800,-284.42
39,144000,-382.08
41,151200,-277.232
43,158400,-339.2328
45,165600,-258.0048
47,172800,-337.7328
49,180000,-238.62
51,187200,-400.2968
53,194400,-266.6781
55,201600,-190.5648
57,208800,-365.9965
59,216000,-310.7408
61,223200,-314.8992
63,230400,-441.3104
65,237600,-361.9712
67,244800,-175.4504
69,252000,-184.8648
71,259200,-172.5664
73,266400,-264.26
75,273600,-229.0912
77,280800,-288.7616
79,288000,-211.964
81,295200,-271.968
83,302400,-288.108
85,309600,-293.7765
87,316800,-180.1867
89,324000,-184.5584
91,331200,-210.5216
93,338400,-166.4968
95,345600,-295.2528
97,352800,-255.7806
99,360000,-209.4435
101,367200,-314.2992
103,374400,-254.8339
105,381600,-325.5131
107,388800,-243.1131
109,396000,-97.6984
111,403200,-220.9176
113,410400,-162.1768
115,417600,-198.7512
117,424800,-313.4728
119,432000,-239.9616
121,439200,-209.8176
123,446400,-238.0835
125,453600,-217.4168
127,460800,-241.1688
129,468000,-235.492
131,475200,-257.1568
133,482400,-150.1568
135,489600,-319.8675
137,496800,-97.2704
139,504000,-268.4243
141,511200,-134.6315
143,518400,-182.144
145,525600,-138.3392
147,532800,-125.5272
149,540000,-248.1464
151,547200,-128.3792
153,554400,-161.8539
155,561600,-222.3534
157,568800,-105.1032
159,576000,-185.6368
161,583200,-250.1176
163,590400,-201.8784
165,597600,-114.3931
167,604800,-64.9568
169,612000,-235.2976
171,619200,-142.5578
173,626400,-95.7336
175,633600,-95.068
177,640800,-144.1576
179,648000,-168.7883
181,655200,-40.6099
183,662400,-68.7088
185,669600,-99.7104
187,676800,-95.0296
189,684000,-177.8312
191,691200,-98.6443
193,698400,-131.1877
195,705600,-222.688
197,712800,-228.5365
199,720000,-82.2043
201,727200,-142.0608
203,734400,-130.7909
205,741600,-301.3648
207,748800,-104.5648
209,756000,-35.4413
211,763200,-95.6224
213,770400,-189.9144
215,777600,-98.1112
217,784800,-281.6992
219,792000,-97.9208
221,799200,-217.6264
223,806400,-268.0112
225,813600,-250.7328
227,820800,-177.948
229,828000,-104.3112
231,835200,-168.036
233,842400,-138.7248
235,849600,-145.7888
