episode,timestep,reward
1,14400,450.8456
3,28800,405.1108
5,43200,448.028
7,57600,323.4529
9,72000,362.4276
11,86400,388.1822
13,100800,379.262
15,115200,395.5812
17,129600,306.1536
19,144000,423.0641
21,158400,326.798
23,172800,472.8464
25,187200,688.4679
27,201600,233.2198
29,216000,397.6094
31,230400,382.9071
33,244800,489.1654
35,259200,421.386
37,273600,304.9723
39,288000,377.9541
41,302400,493.4179
43,316800,382.1643
45,331200,452.4809
47,345600,312.6663
49,360000,174.69
51,374400,316.7954
53,388800,225.1933
55,403200,211.3058
57,417600,361.3244
59,432000,267.4342
61,446400,302.305
63,460800,428.0279
65,475200,364.3546
67,489600,279.3392
69,504000,349.6928
71,518400,573.6094
73,532800,665.784
75,547200,496.1753
77,561600,337.8694
79,576000,396.3473
81,590400,416.1158
83,604800,320.8983
85,619200,212.3568
87,633600,340.7488
89,648000,618.7458
91,662400,304.8962
93,676800,219.7224
95,691200,106.4919
97,705600,237.3499
99,720000,253.7318
101,734400,245.327
103,748800,436.7475
105,763200,227.6147
107,777600,324.1105
109,792000,427.9404
111,806400,353.1526
113,820800,411.9118
115,835200,361.4436
117,849600,413.171
119,864000,404.2122
121,878400,281.2493
123,892800,386.2944
125,907200,329.0282
127,921600,481.5631
129,936000,462.8479
131,950400,306.5101
133,964800,452.6253
135,979200,293.545
137,993600,387.5733
139,1008000,290.9601
141,1022400,237.1937
143,1036800,367.4317
145,1051200,403.9903
147,1065600,271.1206
149,1080000,483.8661
151,1094400,259.823
153,1108800,331.9624
155,1123200,233.5798
157,1137600,260.2378
159,1152000,162.8026
161,1166400,296.2544
163,1180800,441.606
165,1195200,288.8078
167,1209600,286.4127
169,1224000,284.7894
171,1238400,213.6613
173,1252800,207.3478
175,1267200,548.8697
177,1281600,485.3581
179,1296000,396.3392
181,1310400,378.5521
183,1324800,181.4453
185,1339200,266.2256
187,1353600,332.3267
189,1368000,192.8965
191,1382400,307.0124
193,1396800,261.9851
195,1411200,516.7171
197,1425600,320.5945
199,1440000,247.4149
201,1454400,343.0201
203,1468800,489.377
205,1483200,471.5742
207,1497600,309.6384
209,1512000,278.2673
211,1526400,266.4068
213,1540800,335.367
215,1555200,507.216
217,1569600,324.2452
219,1584000,334.9998
221,1598400,147.4756
223,1612800,425.5749
225,1627200,186.0138
227,1641600,377.8593
229,1656000,420.2945
231,1670400,148.1121
233,1684800,397.4943
235,1699200,292.8576
237,1713600,152.7984
239,1728000,422.5193
241,1742400,445.8841
243,1756800,265.8446
245,1771200,439.9309
247,1785600,229.9462
249,1800000,280.9217
251,1814400,516.0518
253,1828800,259.2677
255,1843200,342.4415
257,1857600,218.3029
259,1872000,304.1761
261,1886400,124.6605
263,1900800,265.2489
265,1915200,307.2384
267,1929600,290.906
269,1944000,165.1983
271,1958400,351.5766
273,1972800,258.944
275,1987200,298.3884
277,2001600,264.259
279,2016000,421.9333
281,2030400,354.9837
283,2044800,440.6499
285,2059200,329.8563
287,2073600,327.8356
289,2088000,350.0698
291,2102400,289.8107
293,2116800,187.9631
295,2131200,222.3963
297,2145600,36.8485
299,2160000,193.8717
301,2174400,218.2822
303,2188800,388.5611
305,2203200,234.7912
307,2217600,249.0007
309,2232000,212.4274
311,2246400,125.8733
313,2260800,430.935
315,2275200,431.4813
317,2289600,330.6325
319,2304000,372.0495
321,2318400,470.0178
323,2332800,450.4518
325,2347200,747.0543
327,2361600,303.4557
329,2376000,246.0173
331,2390400,303.9793
333,2404800,435.3195
335,2419200,353.1029
337,2433600,541.2087
339,2448000,420.3254
341,2462400,422.895
343,2476800,383.8156
345,2491200,143.7694
347,2505600,313.7538
349,2520000,322.465
351,2534400,367.6761
353,2548800,264.6825
355,2563200,535.5855
357,2577600,266.3815
359,2592000,345.8761
361,2606400,313.2227
363,2620800,116.0852
365,2635200,284.4022
367,2649600,260.0024
369,2664000,196.1303
371,2678400,231.7262
373,2692800,130.8092
375,2707200,320.8358
377,2721600,400.3819
379,2736000,213.8189
381,2750400,323.8459
383,2764800,612.1785
385,2779200,242.6555
387,2793600,302.0325
389,2808000,159.0615
391,2822400,521.6345
393,2836800,307.3308
395,2851200,182.5404
397,2865600,400.9399
399,2880000,246.2002
401,2894400,379.7649
403,2908800,354.1738
405,2923200,333.1613
407,2937600,404.1825
409,2952000,415.2781
411,2966400,313.6039
413,2980800,236.1992
415,2995200,263.9855
417,3009600,211.2349
419,3024000,466.8049
421,3038400,256.0282
423,3052800,366.3848
425,3067200,351.7593
427,3081600,386.7158
429,3096000,235.8697
431,3110400,336.2549
433,3124800,437.4495
435,3139200,435.4982
437,3153600,284.5413
439,3168000,283.247
441,3182400,337.8285
443,3196800,340.4956
445,3211200,446.9537
447,3225600,261.7174
449,3240000,246.0468
451,3254400,558.0026
453,3268800,187.2285
455,3283200,252.0399
457,3297600,334.7925
459,3312000,267.8769
461,3326400,196.1104
463,3340800,375.7923
465,3355200,340.2182
467,3369600,334.787
469,3384000,348.2889
471,3398400,205.3502
473,3412800,273.8082
475,3427200,280.6933
477,3441600,561.7033
479,3456000,305.08
481,3470400,109.3976
483,3484800,288.4386
485,3499200,166.9064
487,3513600,317.5447
489,3528000,248.1015
491,3542400,194.5271
493,3556800,283.457
495,3571200,256.0569
497,3585600,466.3625
499,3600000,375.2816
501,3614400,269.3642
503,3628800,270.6084
505,3643200,114.1219
507,3657600,248.5634
509,3672000,138.1586
511,3686400,100.938
513,3700800,379.3485
515,3715200,179.0492
517,3729600,342.7632
519,3744000,140.3029
521,3758400,409.4872
523,3772800,286.2301
525,3787200,243.9728
527,3801600,266.0083
529,3816000,285.5936
531,3830400,331.0628
533,3844800,297.892
535,3859200,278.657
537,3873600,352.7488
539,3888000,390.7819
541,3902400,290.8233
543,3916800,208.7057
545,3931200,125.8842
547,3945600,331.8922
549,3960000,338.5037
551,3974400,205.1812
553,3988800,301.7364
555,4003200,315.0819
557,4017600,386.6093
559,4032000,286.6267
561,4046400,280.2111
563,4060800,230.5984
565,4075200,185.4069
567,4089600,233.6908
569,4104000,258.3011
571,4118400,371.5236
573,4132800,447.528
575,4147200,769.5195
577,4161600,342.107
579,4176000,337.0152
581,4190400,384.2458
583,4204800,250.3522
585,4219200,338.2413
587,4233600,432.6761
589,4248000,128.9209
591,4262400,285.2341
593,4276800,222.929
595,4291200,309.7979
597,4305600,147.7273
599,4320000,176.0155
601,4334400,228.6449
603,4348800,389.8766
605,4363200,379.5254
607,4377600,417.6716
609,4392000,362.7695
611,4406400,603.7962
613,4420800,161.9699
615,4435200,322.7547
617,4449600,402.3025
619,4464000,364.1156
621,4478400,542.2272
623,4492800,240.3931
625,4507200,140.5843
627,4521600,319.0702
629,4536000,280.4136
631,4550400,7.7915
633,4564800,22.2369
635,4579200,94.2582
637,4593600,77.3837
639,4608000,42.8341
641,4622400,155.3683
643,4636800,213.4126
645,4651200,287.2573
647,4665600,363.046
649,4680000,133.8782
651,4694400,559.9929
653,4708800,298.0603
655,4723200,220.5954
657,4737600,483.3698
659,4752000,527.2287
661,4766400,279.9652
663,4780800,360.0811
665,4795200,518.7813
667,4809600,250.1337
669,4824000,175.8555
671,4838400,230.0059
673,4852800,205.4401
675,4867200,371.7189
677,4881600,139.1855
679,4896000,180.1165
681,4910400,227.9225
683,4924800,329.0571
