episode,timestep,reward
1,14400,-523.9974
3,28800,-573.22
5,43200,-673.8524
7,57600,-246.4111
9,72000,-540.6872
11,86400,-514.6011
13,100800,-438.884
15,115200,-509.1579
17,129600,-566.8296
19,144000,-506.6856
21,158400,-489.596
23,172800,-377.672
25,187200,-510.1056
27,201600,-327.0182
29,216000,-468.8267
31,230400,-470.507
33,244800,-571.6656
35,259200,-316.0308
37,273600,-612.9296
39,288000,-407.1296
41,302400,-600.4481
43,316800,-485.929
45,331200,-564.4829
47,345600,-354.424
49,360000,-572.3853
51,374400,-457.1844
53,388800,-586.7667
55,403200,-512.5555
57,417600,-472.2527
59,432000,-555.968
61,446400,-356.9439
63,460800,-560.8067
65,475200,-556.3291
67,489600,-488.728
69,504000,-587.5915
71,518400,-433.2483
73,532800,-337.3254
75,547200,-542.2216
77,561600,-420.9072
79,576000,-455.5974
81,590400,-532.4091
83,604800,-361.1045
85,619200,-520.6028
87,633600,-573.7922
89,648000,-525.7144
91,662400,-567.4032
93,676800,-821.7632
95,691200,-424.1709
97,705600,-481.754
99,720000,-495.006
101,734400,-486.5424
103,748800,-496.1712
105,763200,-525.8728
107,777600,-324.1581
109,792000,-397.8395
111,806400,-212.2415
113,820800,-115.0288
115,835200,-357.8558
117,849600,-184.6121
119,864000,-297.2847
121,878400,-212.9335
123,892800,-217.0822
125,907200,-456.7483
127,921600,-265.768
129,936000,-217.0622
131,950400,-507.9229
133,964800,-488.4904
135,979200,-712.548
137,993600,-559.8131
139,1008000,-588.8032
141,1022400,-475.9883
143,1036800,-392.3768
145,1051200,-434.234
147,1065600,-363.6488
149,1080000,-461.4419
151,1094400,-292.2247
153,1108800,-490.4168
155,1123200,-387.786
157,1137600,-420.104
159,1152000,-449.6344
161,1166400,-250.6392
163,1180800,-302.1716
165,1195200,-270.4632
167,1209600,-336.6027
169,1224000,-405.0598
171,1238400,-320.936
173,1252800,-257.0781
175,1267200,-212.9753
177,1281600,-239.7084
179,1296000,-248.3778
181,1310400,-212.2249
183,1324800,-440.1025
185,1339200,-119.8648
187,1353600,-124.7605
189,1368000,-308.2414
191,1382400,-214.228
193,1396800,-355.9608
195,1411200,-419.3205
197,1425600,-402.9126
199,1440000,-352.4217
201,1454400,-205.3319
203,1468800,-318.2256
205,1483200,-253.1609
207,1497600,-322.1614
209,1512000,-284.7156
211,1526400,-337.8428
213,1540800,-563.9699
215,1555200,-371.9939
217,1569600,-435.264
