episode,timestep,reward
1,14400,33.2203
3,28800,-20.1828
5,43200,116.8852
7,57600,134.3377
9,72000,40.7766
11,86400,66.3813
13,100800,106.9015
15,115200,-42.4373
17,129600,124.0888
19,144000,-18.1321
21,158400,102.5407
23,172800,-14.712
25,187200,38.1106
27,201600,71.1924
29,216000,36.77
31,230400,13.0302
33,244800,31.7127
35,259200,-25.4469
37,273600,-2.186
39,288000,57.9157
41,302400,-30.1558
43,316800,6.0157
45,331200,-91.7953
47,345600,-9.5026
49,360000,8.9354
51,374400,-47.5764
53,388800,-35.336
55,403200,-141.7565
57,417600,-48.5708
59,432000,-78.5577
61,446400,4.4585
63,460800,-107.6854
65,475200,68.4391
67,489600,101.8844
69,504000,-96.943
71,518400,-30.8629
73,532800,-90.2622
75,547200,-92.6092
77,561600,-21.8765
79,576000,29.591
81,590400,22.3098
83,604800,-134.3672
85,619200,-105.0372
87,633600,-150.9091
89,648000,-112.7299
91,662400,-62.7041
93,676800,-133.8226
95,691200,42.6193
97,705600,11.6889
99,720000,-173.2448
101,734400,-165.1581
103,748800,-133.342
105,763200,-68.4631
107,777600,-118.5661
109,792000,-78.3993
111,806400,-14.2285
113,820800,-67.6445
115,835200,16.9082
117,849600,-89.6058
119,864000,25.5374
121,878400,38.8797
123,892800,0.812
125,907200,-3.5057
127,921600,62.0808
129,936000,95.4745
131,950400,-46.8767
133,964800,14.5258
135,979200,-7.0839
137,993600,4.4477
139,1008000,64.684
141,1022400,106.9862
143,1036800,44.9187
145,1051200,-80.9129
147,1065600,-20.0984
149,1080000,49.774
151,1094400,126.2173
153,1108800,102.6705
155,1123200,-19.1359
157,1137600,-34.783
159,1152000,-90.1175
161,1166400,6.9771
163,1180800,-94.4047
165,1195200,-153.7269
167,1209600,83.0363
169,1224000,-40.9191
171,1238400,70.2169
173,1252800,-157.4827
175,1267200,-216.4927
177,1281600,-74.8784
179,1296000,-41.5118
181,1310400,-50.873
183,1324800,14.0754
185,1339200,-86.871
187,1353600,-8.0373
189,1368000,-59.1024
191,1382400,-55.7675
193,1396800,71.1221
195,1411200,131.7848
197,1425600,-58.5042
199,1440000,91.9985
201,1454400,4.0999
203,1468800,-95.2107
205,1483200,29.7756
207,1497600,-198.3489
209,1512000,-143.8388
211,1526400,-76.0539
213,1540800,-11.0144
215,1555200,-18.2997
217,1569600,25.7727
219,1584000,96.5726
221,1598400,69.912
223,1612800,101.1061
225,1627200,52.2931
227,1641600,87.8983
229,1656000,23.7239
231,1670400,73.5944
233,1684800,-155.0874
235,1699200,-47.6347
237,1713600,-59.245
239,1728000,-88.1271
241,1742400,-130.1784
243,1756800,-196.9086
245,1771200,-113.83
247,1785600,-145.4136
249,1800000,-91.15
251,1814400,-19.8569
253,1828800,185.9092
255,1843200,216.5841
257,1857600,26.1306
259,1872000,21.0207
261,1886400,132.0159
263,1900800,116.3211
265,1915200,218.8951
267,1929600,297.2361
269,1944000,434.3231
271,1958400,540.3937
273,1972800,595.4537
275,1987200,228.3481
277,2001600,294.6158
279,2016000,157.0652
281,2030400,247.1639
283,2044800,128.8552
285,2059200,471.1742
287,2073600,340.1101
289,2088000,422.5959
291,2102400,366.153
293,2116800,470.6505
295,2131200,326.273
297,2145600,458.3441
299,2160000,325.9851
301,2174400,251.5959
303,2188800,179.202
305,2203200,298.054
307,2217600,187.7646
309,2232000,217.2365
311,2246400,524.1287
313,2260800,216.1244
315,2275200,289.9451
317,2289600,417.3576
319,2304000,379.5917
321,2318400,374.4341
323,2332800,249.2252
325,2347200,250.2888
327,2361600,398.1657
329,2376000,431.3453
331,2390400,467.2013
333,2404800,264.4661
335,2419200,362.068
337,2433600,283.8028
339,2448000,280.3375
341,2462400,247.4341
343,2476800,277.0345
345,2491200,216.9691
347,2505600,249.9987
349,2520000,305.3549
351,2534400,442.0021
353,2548800,255.8026
355,2563200,370.2726
357,2577600,324.5309
359,2592000,532.5435
361,2606400,460.1961
363,2620800,321.4013
365,2635200,414.3648
367,2649600,653.1209
369,2664000,476.812
371,2678400,507.0614
373,2692800,148.4721
375,2707200,285.7561
377,2721600,553.4488
379,2736000,334.9616
381,2750400,283.6781
383,2764800,451.3571
385,2779200,346.8047
387,2793600,451.6824
389,2808000,233.695
391,2822400,294.3055
393,2836800,440.9445
395,2851200,308.4069
397,2865600,233.9041
399,2880000,303.5343
401,2894400,398.496
403,2908800,271.1674
405,2923200,413.5457
407,2937600,201.896
409,2952000,266.8995
411,2966400,288.3775
413,2980800,318.5258
415,2995200,505.7258
417,3009600,547.2246
419,3024000,388.7082
421,3038400,574.9263
423,3052800,421.6792
425,3067200,420.7462
427,3081600,218.2897
429,3096000,377.4078
431,3110400,371.0309
433,3124800,380.419
435,3139200,459.7607
437,3153600,266.5576
439,3168000,427.1704
441,3182400,204.1246
443,3196800,371.0653
445,3211200,467.6081
447,3225600,419.0911
449,3240000,255.6154
451,3254400,219.9596
453,3268800,201.3533
455,3283200,261.3456
457,3297600,323.373
459,3312000,282.3656
461,3326400,334.4704
463,3340800,681.5215
465,3355200,52.6519
467,3369600,437.0078
469,3384000,369.2067
471,3398400,313.7407
473,3412800,344.7712
475,3427200,540.2982
477,3441600,435.8814
479,3456000,283.5985
481,3470400,121.5867
483,3484800,462.2555
485,3499200,308.946
487,3513600,178.4952
489,3528000,520.1129
491,3542400,459.8535
493,3556800,392.7359
495,3571200,469.0381
497,3585600,200.9049
499,3600000,296.9884
501,3614400,283.5364
503,3628800,369.8859
505,3643200,341.2119
507,3657600,581.2511
509,3672000,419.5198
511,3686400,399.8547
513,3700800,249.7831
515,3715200,371.8721
517,3729600,254.0902
519,3744000,350.4822
521,3758400,378.3793
523,3772800,107.4449
525,3787200,351.2729
