episode,timestep,reward
1,14400,-651.848
3,28800,-525.676
5,43200,-442.1701
7,57600,-572.4925
9,72000,-621.0536
11,86400,-548.912
13,100800,-663.0021
15,115200,-623.1464
17,129600,-550.8604
19,144000,-467.444
21,158400,-347.1113
23,172800,-448.4646
25,187200,-532.7056
27,201600,-651.8928
29,216000,-451.4242
31,230400,-542.1125
33,244800,-513.244
35,259200,-484.2152
37,273600,-471.9973
39,288000,-616.5619
41,302400,-469.9515
43,316800,-392.8725
45,331200,-414.1093
47,345600,-427.4531
49,360000,-391.5999
51,374400,-569.2779
53,388800,-162.6576
55,403200,-156.1987
57,417600,-540.2825
59,432000,-472.3341
61,446400,-484.915
63,460800,-476.6591
65,475200,-586.136
67,489600,-643.405
69,504000,-371.3912
71,518400,-231.5859
73,532800,-375.3853
75,547200,-535.5008
77,561600,-577.0188
79,576000,-346.4131
81,590400,-479.208
83,604800,-394.7976
85,619200,-465.864
87,633600,-437.2072
89,648000,-464.4008
91,662400,-550.5787
93,676800,-385.008
95,691200,-604.0067
97,705600,-525.888
99,720000,-547.4176
101,734400,-507.0985
103,748800,-281.4739
105,763200,-156.0507
107,777600,-322.8346
109,792000,-179.5409
111,806400,-305.184
113,820800,-130.9553
115,835200,-256.2992
117,849600,-319.6366
119,864000,-343.5158
121,878400,-305.0784
123,892800,-447.6558
125,907200,-256.2974
127,921600,-373.2547
129,936000,-597.216
131,950400,-451.1102
133,964800,-343.0359
135,979200,-470.0754
137,993600,-251.5496
139,1008000,-373.4904
141,1022400,-273.5896
143,1036800,-322.0627
145,1051200,-454.9825
147,1065600,-457.9043
149,1080000,-482.1592
151,1094400,-149.5168
153,1108800,-427.1013
155,1123200,-146.6478
157,1137600,-394.6788
159,1152000,-248.5346
161,1166400,-270.7451
163,1180800,-260.756
165,1195200,-332.8718
167,1209600,-135.5561
169,1224000,-229.8071
171,1238400,-240.2795
173,1252800,-490.2589
175,1267200,-16.0707
177,1281600,-461.4795
179,1296000,-280.433
181,1310400,-326.0152
183,1324800,-136.468
185,1339200,-533.7351
187,1353600,-231.2841
189,1368000,-382.8908
191,1382400,-125.8058
193,1396800,-305.2402
195,1411200,-390.6451
197,1425600,-373.9896
199,1440000,-381.1944
201,1454400,-287.6016
203,1468800,-152.2155
205,1483200,-356.1275
207,1497600,-318.337
209,1512000,-311.7971
211,1526400,-209.6183
213,1540800,-196.2385
215,1555200,-270.9808
217,1569600,-399.3357
219,1584000,-264.3453
221,1598400,-126.1804
223,1612800,-165.5577
225,1627200,-215.5088
227,1641600,-426.6096
229,1656000,-216.2362
231,1670400,-286.6249
233,1684800,-195.7096
235,1699200,-264.8277
237,1713600,-395.8275
239,1728000,-279.4528
241,1742400,-439.508
243,1756800,-113.6709
245,1771200,-545.8976
247,1785600,-371.764
249,1800000,-181.0325
251,1814400,-361.9615
253,1828800,-660.3342
255,1843200,-452.8637
257,1857600,-472.46
259,1872000,-410.9308
261,1886400,-327.8705
263,1900800,-264.1762
265,1915200,-364.4592
267,1929600,-294.529
269,1944000,-278.3785
271,1958400,-186.2227
273,1972800,-176.6679
275,1987200,-179.3038
277,2001600,-214.7138
279,2016000,-262.5474
281,2030400,-166.0904
283,2044800,-177.8521
285,2059200,-341.8308
287,2073600,-220.5944
289,2088000,-142.678
291,2102400,-132.4113
293,2116800,-407.2971
295,2131200,-117.5396
297,2145600,-315.9776
299,2160000,-290.1281
301,2174400,-410.7126
303,2188800,-375.1647
305,2203200,-493.784
307,2217600,-407.6751
309,2232000,-309.7175
311,2246400,-378.6998
313,2260800,-314.023
315,2275200,-224.9083
317,2289600,-344.3296
319,2304000,-243.7226
321,2318400,-165.448
323,2332800,-134.7271
325,2347200,-106.8565
327,2361600,-214.9436
329,2376000,-360.2139
331,2390400,-33.9244
333,2404800,-342.28
335,2419200,-200.8531
337,2433600,-39.7795
339,2448000,-318.6856
341,2462400,-252.836
343,2476800,-306.4374
345,2491200,-296.9247
347,2505600,40.1531
349,2520000,-201.3782
351,2534400,-244.709
353,2548800,-213.6573
355,2563200,-135.2391
357,2577600,-424.458
359,2592000,-170.3311
361,2606400,-177.3103
363,2620800,-199.6061
365,2635200,-149.5031
367,2649600,-467.6196
369,2664000,-218.1606
371,2678400,-314.0637
373,2692800,-228.5544
375,2707200,-323.6471
377,2721600,-174.7742
379,2736000,-161.8653
381,2750400,-243.5498
383,2764800,-303.9462
385,2779200,-283.2934
387,2793600,-143.6921
389,2808000,-241.0722
391,2822400,-284.7355
393,2836800,-579.9285
395,2851200,-225.6968
397,2865600,-301.9936
399,2880000,-389.7368
401,2894400,-305.6024
