episode,timestep,reward
1,14400,9.4032
3,28800,49.4056
5,43200,78.8264
7,57600,80.3037
9,72000,39.6792
11,86400,44.0688
13,100800,68.6136
15,115200,66.8768
17,129600,72.297
19,144000,80.5429
21,158400,39.6792
23,172800,54.556
25,187200,54.6816
27,201600,64.7104
29,216000,62.3032
31,230400,55.1976
33,244800,64.5872
35,259200,34.9216
37,273600,18.58
39,288000,75.6693
41,302400,55.1976
43,316800,63.9792
45,331200,60.5632
47,345600,24.9216
49,360000,65.036
51,374400,43.4608
53,388800,56.7957
55,403200,53.7032
57,417600,45.9725
59,432000,49.7712
61,446400,55.284
63,460800,45.6208
65,475200,98.584
67,489600,51.1656
69,504000,47.3085
71,518400,35.1088
73,532800,15.6912
75,547200,102.7
77,561600,29.3253
79,576000,70.624
81,590400,34.2216
83,604800,108.008
85,619200,84.5928
87,633600,53.9768
89,648000,42.744
91,662400,73.9184
93,676800,76.0901
95,691200,44.288
97,705600,104.8429
99,720000,34.74
101,734400,40.3621
103,748800,83.6162
105,763200,44.584
107,777600,46.9605
109,792000,62.1301
111,806400,84.6269
113,820800,76.6024
115,835200,95.1509
117,849600,-22.2003
119,864000,56.5918
121,878400,70.4765
123,892800,69.1606
125,907200,70.8141
127,921600,82.841
129,936000,78.5157
131,950400,64.5117
133,964800,45.1197
135,979200,105.8104
137,993600,44.5304
139,1008000,95.5485
141,1022400,64.7595
143,1036800,123.4483
145,1051200,61.7498
147,1065600,87.1934
149,1080000,49.0285
151,1094400,101.4064
153,1108800,42.4302
155,1123200,69.2349
157,1137600,64.2275
159,1152000,44.8059
161,1166400,77.1758
163,1180800,94.8947
165,1195200,109.8562
167,1209600,1.645
169,1224000,87.0373
171,1238400,124.5422
173,1252800,103.4229
175,1267200,85.2572
177,1281600,53.5419
179,1296000,98.6595
181,1310400,19.2539
183,1324800,113.2452
185,1339200,18.0331
187,1353600,38.3549
189,1368000,-11.785
191,1382400,99.4003
193,1396800,66.7936
195,1411200,56.1171
197,1425600,151.7438
199,1440000,186.3433
201,1454400,71.1809
203,1468800,67.379
205,1483200,135.8935
207,1497600,78.2221
209,1512000,8.0177
211,1526400,5.5138
213,1540800,174.9255
215,1555200,117.9925
217,1569600,182.7354
219,1584000,157.4402
221,1598400,143.7518
223,1612800,22.1878
225,1627200,183.7572
227,1641600,-12.8456
229,1656000,187.7765
231,1670400,39.4574
233,1684800,262.2492
235,1699200,53.694
237,1713600,99.5625
239,1728000,158.8221
241,1742400,192.2008
243,1756800,93.6072
245,1771200,186.8234
247,1785600,102.7196
249,1800000,190.86
251,1814400,151.2325
253,1828800,162.5211
255,1843200,125.1739
257,1857600,156.9327
259,1872000,191.3483
261,1886400,166.2099
263,1900800,144.7437
265,1915200,283.8523
267,1929600,217.909
269,1944000,241.2928
271,1958400,213.5157
273,1972800,248.7842
275,1987200,193.9915
277,2001600,167.5465
279,2016000,183.2797
281,2030400,172.3291
283,2044800,304.4286
285,2059200,361.8869
287,2073600,137.5762
289,2088000,302.9407
291,2102400,180.1928
293,2116800,122.1756
295,2131200,122.5438
297,2145600,110.497
299,2160000,243.4364
301,2174400,279.8568
303,2188800,207.3472
305,2203200,190.7687
307,2217600,295.8437
309,2232000,180.3312
311,2246400,259.7774
313,2260800,261.3766
315,2275200,96.7627
317,2289600,236.808
319,2304000,274.1466
321,2318400,146.9731
323,2332800,378.7498
325,2347200,215.7797
327,2361600,325.198
329,2376000,323.96
331,2390400,206.3089
333,2404800,168.1518
335,2419200,274.615
337,2433600,260.6787
339,2448000,234.2958
341,2462400,273.1302
343,2476800,305.8472
345,2491200,294.8225
347,2505600,360.5342
349,2520000,343.1332
351,2534400,303.8338
353,2548800,264.7396
355,2563200,379.3472
357,2577600,236.9395
359,2592000,262.3263
361,2606400,298.0679
363,2620800,161.1634
365,2635200,242.3406
367,2649600,366.3119
369,2664000,281.3655
371,2678400,182.5124
373,2692800,322.8081
375,2707200,341.7113
377,2721600,315.8082
379,2736000,227.9069
381,2750400,222.844
383,2764800,255.6279
385,2779200,282.3346
387,2793600,347.3926
389,2808000,210.7359
391,2822400,197.0008
393,2836800,277.972
395,2851200,235.9244
397,2865600,389.2233
399,2880000,260.1128
401,2894400,317.3983
403,2908800,364.3967
405,2923200,213.134
407,2937600,229.3511
409,2952000,330.7165
411,2966400,164.9913
413,2980800,346.3182
415,2995200,246.0272
417,3009600,251.7057
419,3024000,256.7607
421,3038400,283.4068
423,3052800,114.6727
425,3067200,273.4011
427,3081600,259.0834
429,3096000,222.1532
431,3110400,268.2938
433,3124800,336.958
435,3139200,385.597
437,3153600,199.4806
439,3168000,219.065
441,3182400,159.2864
443,3196800,105.9048
445,3211200,232.9934
447,3225600,173.5846
449,3240000,312.101
451,3254400,300.8633
453,3268800,373.9089
455,3283200,314.6947
457,3297600,241.6466
459,3312000,321.9653
461,3326400,417.3155
463,3340800,450.4095
465,3355200,337.3839
467,3369600,317.6631
469,3384000,385.3184
471,3398400,222.6484
473,3412800,254.5549
475,3427200,398.3137
477,3441600,396.8349
479,3456000,285.8431
481,3470400,355.1538
483,3484800,335.0164
485,3499200,320.7229
487,3513600,331.4841
489,3528000,236.936
491,3542400,298.8588
493,3556800,425.2806
495,3571200,217.7423
497,3585600,357.6767
499,3600000,314.7937
501,3614400,311.3765
503,3628800,195.954
505,3643200,486.7861
507,3657600,453.6706
509,3672000,227.4533
511,3686400,338.5076
513,3700800,283.7667
515,3715200,340.8184
517,3729600,276.6279
519,3744000,256.3582
521,3758400,351.0369
523,3772800,306.1764
525,3787200,271.6381
527,3801600,417.1441
529,3816000,297.2243
531,3830400,439.6134
533,3844800,346.7733
535,3859200,212.2605
537,3873600,299.5412
539,3888000,297.7685
541,3902400,293.5703
543,3916800,300.8585
545,3931200,334.0667
547,3945600,350.0691
549,3960000,302.1807
551,3974400,422.3532
553,3988800,305.2578
555,4003200,187.9783
557,4017600,382.4438
559,4032000,404.2468
561,4046400,412.2442
563,4060800,287.1761
565,4075200,250.5824
567,4089600,406.9833
569,4104000,369.4613
571,4118400,361.6818
573,4132800,226.3288
575,4147200,423.6947
577,4161600,377.1933
579,4176000,437.1431
581,4190400,368.1952
583,4204800,366.6739
585,4219200,339.1133
587,4233600,444.0699
589,4248000,422.6043
591,4262400,342.8822
593,4276800,430.0152
595,4291200,411.5728
597,4305600,321.6987
599,4320000,440.7963
601,4334400,280.0059
603,4348800,395.1564
605,4363200,431.1055
607,4377600,393.957
609,4392000,379.2569
611,4406400,370.8851
613,4420800,382.2813
615,4435200,426.7065
617,4449600,294.9804
619,4464000,356.8051
621,4478400,347.1034
623,4492800,471.6449
625,4507200,465.0918
627,4521600,444.1559
629,4536000,464.3661
631,4550400,253.7329
633,4564800,541.042
635,4579200,356.521
637,4593600,334.3514
639,4608000,481.0999
641,4622400,377.112
643,4636800,362.4504
645,4651200,314.9218
647,4665600,393.7513
649,4680000,522.0047
651,4694400,412.3919
653,4708800,333.9702
655,4723200,221.6403
657,4737600,390.9921
659,4752000,354.418
661,4766400,329.757
663,4780800,378.7668
665,4795200,323.307
667,4809600,180.0887
669,4824000,412.0105
671,4838400,312.6082
673,4852800,348.9495
675,4867200,399.5548
677,4881600,258.8467
679,4896000,295.8228
681,4910400,415.0987
683,4924800,417.1227
685,4939200,492.467
687,4953600,318.5961
689,4968000,452.9343
691,4982400,398.9042
693,4996800,429.0702
695,5011200,376.4104
697,5025600,217.0711
699,5040000,378.8588
701,5054400,340.5402
703,5068800,355.9954
705,5083200,432.7983
707,5097600,207.5613
709,5112000,294.9817
711,5126400,433.8779
713,5140800,444.7105
715,5155200,509.6336
717,5169600,391.9727
719,5184000,368.0139
721,5198400,337.5515
723,5212800,289.1988
725,5227200,270.9813
727,5241600,239.7492
729,5256000,141.3095
731,5270400,334.0522
733,5284800,387.3985
735,5299200,304.8259
737,5313600,325.5357
739,5328000,326.0597
741,5342400,300.055
743,5356800,369.6558
745,5371200,424.6914
747,5385600,328.5266
749,5400000,351.4312
751,5414400,412.0857
753,5428800,294.3558
755,5443200,399.2781
757,5457600,375.203
759,5472000,409.0786
761,5486400,402.7991
763,5500800,367.4281
765,5515200,415.8381
767,5529600,437.6234
769,5544000,368.7697
771,5558400,412.4535
773,5572800,413.9057
775,5587200,305.8243
777,5601600,290.3843
779,5616000,464.6373
781,5630400,382.1683
783,5644800,394.6105
785,5659200,471.6776
787,5673600,350.55
789,5688000,266.7148
791,5702400,360.9724
793,5716800,403.4723
795,5731200,448.6616
797,5745600,319.4104
799,5760000,318.6777
801,5774400,370.147
803,5788800,342.7749
805,5803200,380.6892
807,5817600,378.4839
809,5832000,434.0251
811,5846400,440.5483
813,5860800,404.2409
815,5875200,358.1626
817,5889600,392.7377
819,5904000,339.9008
821,5918400,303.2845
823,5932800,301.7931
825,5947200,425.0857
827,5961600,416.4549
829,5976000,347.8459
831,5990400,382.0409
833,6004800,373.72
835,6019200,423.7465
837,6033600,465.4252
839,6048000,353.0488
841,6062400,442.5753
843,6076800,341.8504
845,6091200,459.3579
847,6105600,449.2564
849,6120000,371.2757
851,6134400,401.0715
853,6148800,366.8164
855,6163200,409.8091
857,6177600,368.3145
859,6192000,419.5699
861,6206400,442.4391
863,6220800,413.3557
865,6235200,401.1842
867,6249600,438.5867
869,6264000,444.5727
871,6278400,533.8256
873,6292800,450.0733
875,6307200,376.5439
877,6321600,380.3093
879,6336000,470.6243
881,6350400,444.9265
883,6364800,302.6642
885,6379200,442.3704
887,6393600,473.1741
889,6408000,371.654
891,6422400,464.9074
893,6436800,379.6191
895,6451200,414.7462
897,6465600,355.1123
899,6480000,315.494
901,6494400,295.7481
903,6508800,453.5854
905,6523200,480.839
907,6537600,413.5348
909,6552000,433.9682
911,6566400,389.7996
913,6580800,387.2134
915,6595200,438.1525
917,6609600,385.3528
919,6624000,396.3314
921,6638400,360.1069
923,6652800,295.8428
