episode,timestep,reward
1,14400,567.0854
3,28800,414.8648
5,43200,565.4976
7,57600,460.2008
9,72000,401.04
11,86400,454.6968
13,100800,528.1096
15,115200,514.58
17,129600,365.0294
19,144000,523.5424
21,158400,462.9704
23,172800,598.6725
25,187200,514.7592
27,201600,554.4032
29,216000,518.7261
31,230400,488.5424
33,244800,530.9683
35,259200,535.0427
37,273600,532.8525
39,288000,449.72
41,302400,633.644
43,316800,502.888
45,331200,585.7813
47,345600,550.356
49,360000,481.7256
51,374400,673.0936
53,388800,572.5288
55,403200,572.7632
57,417600,596.0421
59,432000,603.6752
61,446400,515.1872
63,460800,584.2066
65,475200,624.632
67,489600,615.4304
69,504000,614.5032
71,518400,583.3485
73,532800,669.5563
75,547200,555.764
77,561600,499.1515
79,576000,504.7315
81,590400,594.2323
83,604800,644.4184
85,619200,661.2704
87,633600,629.6024
89,648000,566.9648
91,662400,608.0864
93,676800,676.8784
95,691200,573.2139
97,705600,664.9384
99,720000,592.352
101,734400,727.9952
103,748800,730.488
105,763200,673.52
107,777600,667.528
109,792000,680.8776
111,806400,712.144
113,820800,726.4246
115,835200,672.1904
117,849600,731.9128
119,864000,855.4288
121,878400,780.7472
123,892800,849.4944
125,907200,697.9552
127,921600,781.8752
129,936000,796.7803
131,950400,739.2152
133,964800,720.6344
135,979200,776.2163
137,993600,748.976
139,1008000,770.8408
141,1022400,767.4872
143,1036800,776.9184
145,1051200,752.4392
147,1065600,770.6096
149,1080000,787.1723
151,1094400,811.3968
153,1108800,829.4824
155,1123200,883.9376
157,1137600,831.1576
159,1152000,804.0048
161,1166400,831.5224
163,1180800,801.1224
165,1195200,828.8072
167,1209600,852.3136
169,1224000,819.0608
171,1238400,835.0168
173,1252800,863.0224
175,1267200,817.8168
177,1281600,868.6432
179,1296000,800.9459
181,1310400,908.6152
183,1324800,834.427
185,1339200,804.8608
187,1353600,784.4488
189,1368000,860.2549
191,1382400,830.9024
193,1396800,876.1936
195,1411200,862.8728
197,1425600,858.0592
199,1440000,803.3312
201,1454400,893.5197
203,1468800,856.8661
205,1483200,798.9469
207,1497600,763.3512
209,1512000,848.5952
211,1526400,836.0296
213,1540800,831.8704
215,1555200,916.5651
217,1569600,947.0576
219,1584000,854.0416
221,1598400,950.4968
223,1612800,916.6208
225,1627200,872.4544
227,1641600,897.2224
229,1656000,874.2888
231,1670400,939.416
233,1684800,874.2152
235,1699200,847.8064
237,1713600,909.7904
239,1728000,889.7499
241,1742400,964.1571
243,1756800,890.764
245,1771200,898.5744
247,1785600,873.7448
249,1800000,952.7368
251,1814400,888.4144
253,1828800,928.732
255,1843200,776.0824
257,1857600,880.8888
259,1872000,961.6066
261,1886400,880.2488
